Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2018 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Texas Hail Storm (June 2018)","Severe Storm",20180606,20180606,1150.0,0
"Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1370.0,5
"Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1018.4,0
"Southeastern Severe Storms and Tornadoes (March 2018)","Severe Storm",20180318,20180321,1378.8,0
"Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2216.0,9
"Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1063.8,22
"Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,18365.1,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)","Drought",20170301,20171231,2550.0,0
"Hurricane Maria (September 2017)","Tropical Cyclone",20170919,20170921,91800.0,65
"Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,50974.5,97
"Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,127500.0,89
"Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1453.5,0
"Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1569.3,0
"Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017)","Severe Storm",20170609,20170611,2444.0,0
"Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,3484.0,0
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1725.4,20
"South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,2802.8,0
"Southeast Freeze (March 2017)","Freeze",20170314,20170316,1040.0,0
"Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2263.0,2
"Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1878.1,6
"California Flooding (February 2017)","Flooding",20170208,20170222,1560.0,5
"Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1149.2,24
"Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2538.7,21
"West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3660.2,0
"Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,10600.0,49
"Louisiana Flooding (August 2016)","Flooding",20160812,20160815,10600.0,13
"Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1553.6,0
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1027.1,23
"Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1215.0,0
"Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1823.0,2
"South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2538.1,6
"Houston Flooding (April 2016)","Flooding",20160417,20160418,2836.6,8
"North/Central Texas Hail Storm (April 2016)","Severe Storm",20160410,20160412,3708.5,0
"North Texas Hail Storm (March 2016)","Severe Storm",20160323,20160324,2188.7,0
"Southern Severe Weather (March 2016)","Severe Storm",20160317,20160318,1282.9,1
"Texas and Louisiana Flooding (March 2016)","Flooding",20160308,20160312,2432.5,5
"Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1102.3,10
"Western Drought (2015)","Drought",20150101,20151231,4823.3,0
"Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2118.8,50
"Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3248.7,12
"South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2158.1,25
"Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1265.7,1
"Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2700.6,31
"Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1373.9,4
"South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1386.4,0
"Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1680.2,2
"Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3199.2,30
"Western Drought (2014)","Drought",20140101,20141231,4287.6,0
"Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1512.5,0
"Michigan and Northeast Flooding (August 2014)","Flooding",20140811,20140813,1114.3,2
"Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2072.8,2
