SOURCE_ID,YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,STATE/PROVINCE,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
1,-2000,,,,,1,1,,,50,SYRIA,,SYRIAN COASTS,35.683,35.8,,,,6,,,,,,,3,,4,,,,,,,,,,3,,4,,,,
3,-1610,,,,,6,4,,,50,GREECE,,THERA ISLAND (SANTORINI),36.4,25.4,90,,,6,,,,,,,3,,3,,,,,,,,,,3,,3,,,,
4,-1365,,,,,1,1,,,50,SYRIA,,SYRIAN COASTS,35.683,35.8,,,,6,,,,,,,,,,,,,,,,,,,,,3,,,,
5,-1300,,,,,0,2,,6,50,TURKEY,,"IONIAN COASTS, TROAD",39.96,26.24,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
6,-760,,,,,0,2,,,50,ISRAEL,,ISRAEL AND LEBANON COASTS,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
7,-590,,,,,1,2,,,50,LEBANON,,LEBANON COASTS,33.27,35.22,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
8,-525,,,,,1,2,,,50,LEBANON,,LEBANON COASTS,33.56,35.37,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3469,-480,9,29,,,1,1,,,50,GREECE,,SARONIC GULF,37.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-479,,,,,1,2,,7,50,GREECE,,NORTH AEGEAN,39.7,23.3,,,,3,,,,,,,3,,,,,,,,,,,,3,,,,,,
10,-426,6,,,,1,4,,7.1,50,GREECE,,CORINTHOS-PATRAS GULF,38.9,22.7,,,,5,,,,,,,3,,2,,,,2,,,,,2500,4,,3,,,,3
11,-373,,,,,3,4,,7.3,50,GREECE,,CORINTHOS-PATRAS GULF,38.25,22.25,,,,5,,,,,,,3,,3,,,,3,,,,,,3,,3,,,,3
12,-330,,,,,1,1,,7,50,GREECE,,"E. SPORADES ISLANDS, AEGEAN ISLANDS",40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282,-326,11,,,,1,2,,,60,INDIA,,KUTCH,23,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,-227,,,,,1,2,,7.2,50,GREECE,,DODECANESE ISLANDS,36.3,28.3,,,,3,,,,,,,,,1,,,,,,,,,,,,1,,,,1
3471,-226,,,,,0,1,,,50,GREECE,,SOUTH EVIOKOS GULF,38.6,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,-223,10,,,,1,1,,,50,GREECE,,MALIAKOS GULF,38.809,22.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,-218,,,,,1,1,,,73,SPAIN,,CADIZ,36.2,-7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4281,-210,,,,,1,1,,,73,PORTUGAL,,GULF OF CADIZ,36,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,-198,,,,,6,1,,,50,GREECE,,THERA ISLAND (SANTORINI),36.404,25.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5481,-150,,,,,0,1,,,60,SRI LANKA,,SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-138,,,,,0,2,,,50,ISRAEL,,ISRAEL AND LEBANON COASTS,,,,,,3,,,,,,,3,,,,,,,,,,,,3,,,,,,
4263,-60,,,,,1,1,,6.7,73,PORTUGAL,,CABO SAN VICENTE,36,-10,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
3714,-58,,,,,1,2,,6.6,50,ALBANIA,,ALBANIA,41.3,19.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3728,-50,,,,,1,1,,5.5,40,GEORGIA,,BLACK SEA,43,41,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
