SOURCE_ID,WAVE_ID,YEAR,MONTH,DAY,REGION_CODE,COUNTRY,STATE/PROVINCE,LOCATION,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,TRAVEL_TIME_HOURS,TRAVEL_TIME_MINUTES,VALIDITY,MEASUREMENT_TYPE,PERIOD,FIRST_MOTION,MAXIMUM_HEIGHT,HORIZONTAL_INUNDATION,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE
1,11014,-2000,,,50,SYRIA,,UGARIT,35.583,35.75,12,,,,1,,,,,,,,3,,4,,,,
3,17601,-1610,,,50,SYRIA,,UGARIT,35.583,35.75,935,,,,1,,,,,,,,3,,3,,,,
3,1,-1610,,,50,GREECE,,N. AND E. COAST CRETE,35.5,25,106,,,,1,,,,,,,,3,,3,,,,
9,2,-479,,,50,GREECE,,"POTIDAEA, MACEDONIA",40.3,23.33,67,,,,1,,,,,,,,3,,,,,,
10,19364,-426,6,,50,GREECE,,TARFI,,,,,,,1,,,,,,,,,,,,,,
10,19365,-426,6,,50,GREECE,,THERMOPLYLES,38.8,22.55,17,,,,1,,,,,,,,,,,,,,
10,5,-426,6,,50,GREECE,,DAPHNUS,38,23.68,132,,,,1,,,,,,,,,,,,,,
10,6,-426,6,,50,GREECE,,SKOPELOS,39.12,23.72,91,,,,1,,,,,,,,,,,,,,
10,3,-426,6,,50,GREECE,,ATALANTI,38.651,22.999,38,,,,1,,,,,,,,,,1,,,,
10,17612,-426,6,,50,GREECE,,THRONIUM,38.817,22.733,10,,,,1,,,,,,,,,,3,,,,
10,17613,-426,6,,50,GREECE,,LICHADES ISLAND,38.815,22.816,14,,,,1,,,,,,,,,,,,,,
10,7,-426,6,,50,GREECE,,OPOUS,38.633,23.0833,45,,,,1,,,,800,,,,,,,,,,
10,4,-426,6,,50,GREECE,,CENEUM,40.173,22.487,143,,,,1,,,,,,,,,,,,,,
10,17611,-426,6,,50,GREECE,,OROBIES,38.817,23.233,47,,,,1,,,,5000,,,,3,,3,,,,
